,mobile_name,mobile_price,mobile_rating,ROM(Storage),Camera,Processor,Website
20,"APPLE iPhone 14 Plus (Starlight, 128 GB)","ýýý83,990",4.5,128 GB ROM,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor",https://www.flipkart.com/apple-iphone-14-plus-starlight-128-gb/p/itmc922ddc8af349?pid=MOBGHWFHVCB2YZYR&lid=LSTMOBGHWFHVCB2YZYRJBXXVM&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBGHWFHVCB2YZYR.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
21,"APPLE iPhone 13 (Midnight, 512 GB)","ýýý83,999",4.7,512 GB ROM,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-13-midnight-512-gb/p/itm7d60d2e9ffd7c?pid=MOBG6VF5GXHZMYMH&lid=LSTMOBG6VF5GXHZMYMHL6HIY4&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBG6VF5GXHZMYMH.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
22,"APPLE iPhone 13 (Starlight, 512 GB)","ýýý83,999",4.7,512 GB ROM,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-13-starlight-512-gb/p/itm1d663e7a79e95?pid=MOBG6VF5G3NJDHJ2&lid=LSTMOBG6VF5G3NJDHJ24JTZKV&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBG6VF5G3NJDHJ2.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
23,"APPLE iPhone 12 mini (Red, 256 GB)","ýýý40,999",4.5,64 GB ROM,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-11-yellow-64-gb/p/itm39b1a0ba9ddcb?pid=MOBFWQ6BWGX9VRFS&lid=LSTMOBFWQ6BWGX9VRFSOBIPKP&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBFWQ6BWGX9VRFS.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
24,"APPLE iPhone 11 (Yellow, 64 GB)","ýýý1,39,900",4.6,128 GB ROM,48MP + 12MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor",https://www.flipkart.com/apple-iphone-14-pro-max-gold-128-gb/p/itm898d084d8a65f?pid=MOBGHWFHGDS3H5S9&lid=LSTMOBGHWFHGDS3H5S9JO90DA&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBGHWFHGDS3H5S9.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
25,"APPLE iPhone 14 Pro Max (Gold, 128 GB)","ýýý52,999",4.7,256 GB ROM,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,https://www.flipkart.com/apple-iphone-12-mini-red-256-gb/p/itm1c7414c410905?pid=MOBFWBYZZQFU4C6H&lid=LSTMOBFWBYZZQFU4C6HF4BTVN&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBFWBYZZQFU4C6H.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
26,"APPLE iPhone 13 (Pink, 512 GB)","ýýý45,999",4.7,128 GB ROM,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-11-green-128-gb/p/itm97529bbf640ca?pid=MOBFWQ6BHBKMH4BF&lid=LSTMOBFWQ6BHBKMH4BFSQ984X&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBFWQ6BHBKMH4BF.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
27,"APPLE iPhone 12 Pro (Graphite, 256 GB)","ýýý88,199",4.5,256 GB ROM,12MP + 12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,https://www.flipkart.com/apple-iphone-12-pro-graphite-256-gb/p/itm4fa4da575698c?pid=MOBFWBYZBA36UB7G&lid=LSTMOBFWBYZBA36UB7GZYS7EA&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBFWBYZBA36UB7G.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
28,"APPLE iPhone 12 Pro (Silver, 256 GB)","ýýý83,999",4.5,512 GB ROM,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-13-pink-512-gb/p/itm3762edcc79946?pid=MOBG6VF5AS6QUQWX&lid=LSTMOBG6VF5AS6QUQWXJPOBR7&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBG6VF5AS6QUQWX.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
29,"APPLE iPhone 14 Plus (Purple, 128 GB)","ýýý71,999",4.5,256 GB ROM,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-13-product-red-256-gb/p/itme239bd6bf6934?pid=MOBG6VF5DYJ3GBZH&lid=LSTMOBG6VF5DYJ3GBZHDKQIMP&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBG6VF5DYJ3GBZH.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
